"Initial_HEI"
0.952
0.632
0.821
0.873
0.955
0.96
0.979
0.984
0.974
0.876
0.909
0.83
0.869
0.873
0.975
0.985
0.942
0.991
0.974
0.726
0.994
0.86
0.622
0.585
0.9
0.965
0.895
0.706
0.4
0.856
0.99
0.959
0.967
0.958
0.972
0.913
0.943
0.981
0.887
0.818
0.691
0.763
0.847
0.773
0.744
0.774
0.958
0.699
0.427
0.162
0.559
0.991
0.828
0.93
0.964
0.999
0.992
1
1
0.988
0.991
0.982
0.982
0.988
0.981
0.992
0.993
0.999
0.999
0.996
0.993
0.988
0.863
0.992
0.997
0.943
0.971
0.926
0.973
0.999
1
1
0.981
0.997
0.994
0.978
0.956
0.984
0.966
0.91
0.957
0.897
0.995
0.954
0.992
0.993
0.989
0.976
0.95
0.941
0.976
0.918
0.99
0.979
0.912
0.987
0.965
0.98
0.863
0.781
0.916
0.862
0.948
0.965
0.924
0.956
0.97
0.997
0.892
0.732
0.947
0.976
0.994
0.819
0.956
0.634
0.897
0.935
0.764
0.992
0.912
0.957
0.991
0.977
0.952
0.918
0.956
0.938
0.918
0.928
0.934
0.942
0.985
0.944
0.921
0.943
0.869
0.749
0.947
0.868
0.92
0.852
0.257
0.454
0.41
0.888
0.831
0.48
0.589
0.432
0.531
0.998
0.838
0.884
0.875
0.839
0.876
0.81
0.93
0.832
0.947
0.041
0.031
0.074
0.112
0.101
0.048
0.113
0.557
0.612
0.504
0.762
0.709
0.751
0.37
0.149
0.421
0.36
0.275
0.566
0.114
0.077
0.188
0.092
0.156
0.068
0.114
0.765
0.492
0.569
0.598
0.552
0.568
0.551
0.536
0.518
0.429
0.815
0.343
0.673
0.747
0.397
0.818
0.696
0.339
0.382
0.912
0.388
0.147
0.078
0.034
0.142
0.124
0.399
0.123
0.984
0.95
0.98
0.949
0.979
0.823
0.89
0.959
0.939
0.875
0.971
0.29
0.669
0.875
0.726
0.645
0.641
0.571
0.854
0.716
0.877
0.778
0.813
0.803
0.636
0.35
0.313
0.405
0.438
0.222
0.173
0.846
0.903
0.957
0.742
0.727
0.57
0.763
0.618
0.425
0.914
0.09
0.112
0.134
0.1
0.035
0.217
0.294
0.3
0.295
0.515
0.735
0.289
0.331
0.267
0.35
0.277
0.394
0.537
0.368
0.539
0.59
0.838
0.972
0.237
0.233
0.195
0.145
0.721
0.876
0.781
0.8
0.734
0.603
0.692
0.311
0.276
0.583
0.34
0.363
0.384
0.3
0.278
0.281
0.318
0.29
0.319
0.153
0.209
0.296
0.239
0.302
0.514
0.526
0.503
0.33
0.263
0.138
0.123
0.204
0.227
0.142
0.246
0.651
0.588
0.584
0.561
0.684
0.4
0.55
0.673
0.456
0.321
0.391
0.54
0.635
0.324
0.344
0.332
0.427
0.374
0.483
0.402
0.387
0.233
0.48
0.38
0.447
0.646
0.363
0.404
0.016
0.002
0.405
0.373
0.741
0.063
0.186
0.128
0.149
0.25
0.299
0.193
0.227
0.218
0.005
0.009
0.201
0.461
0.11
0.079
0.741
0.592
0.238
0.314
0.036
0.09
0.095
0.296
0.08
0.558
0.572
0.525
0.23
0.323
0.505
0.306
0.073
0.232
0.16
0.513
0.131
0.212
0.076
0.115
0.119
0.077
0.282
0.086
0.167
0.181
0.717
0.656
0.891
0.622
0.831
0.157
0.264
0.054
0.226
0.208
0.101
0.132
0.44
0.136
0.174
0.222
0.081
0.154
0.719
0.832
0.221
0.114
0.014
0.429
0.032
0.396
0.408
0.027
0.028
0.393
0.805
0.953
0.015
0.984
0.981
